USER_DATA7,USER_DATA8,USER_DATA9,USER_DATA10,USER_DATA11,USER_DATA12,USER_DATA13,USER_DATA14,USER_DATA15,Angle_ROL,Angle_PIT,Angle_YAW
0,1,0,-270,24,8187,-90,-13,125,0.209999993,-1.840000033,-171.7400055
0,2,0,-278,35,8179,-92,-13,131,0.209999993,-1.889999986,-171.75
0,-2,0,-293,32,8174,-91,-14,124,0.209999993,-1.860000014,-171.7599945
0,1,-1,-301,28,8181,-81,-10,116,0.209999993,-1.889999986,-171.75
0,1,0,-281,28,8206,-88,-7,125,0.209999993,-1.909999967,-171.7599945
0,1,0,-258,25,8196,-90,-7,121,0.209999993,-1.929999948,-171.75
0,0,0,-282,30,8177,-95,-8,128,0.219999999,-1.909999967,-171.7599945
0,-2,0,-312,38,8170,-85,-18,126,0.109999999,-1.870000005,-171.7700043
0,0,0,-317,32,8177,-85,-18,126,0.219999999,-1.860000014,-171.75
0,0,-1,-312,25,8182,-87,-8,124,0.119999997,-1.840000033,-171.7100067
0,0,0,-286,51,8179,-87,-8,124,0.119999997,-1.820000052,-171.7100067
0,1,0,-259,51,8184,-92,-16,123,0.119999997,-1.850000024,-171.7200012
0,1,1,-254,32,8169,-92,-16,123,0.119999997,-1.879999995,-171.7299957
0,1,0,-288,24,8186,-89,-10,116,0.129999995,-1.899999976,-171.7200012
0,0,-1,-327,31,8207,-89,-10,116,0.119999997,-1.889999986,-171.6999969
0,-2,0,-360,35,8192,-82,-9,119,0.119999997,-1.860000014,-171.6900024
0,0,0,-325,26,8195,-86,-10,126,0.119999997,-1.850000024,-171.6999969
0,0,0,-270,34,8156,-90,-9,129,0.129999995,-1.850000024,-171.7100067
0,-3,0,-243,28,8137,-87,-3,119,0.129999995,-1.820000052,-171.7200012
0,2,0,-263,21,8197,-87,0,120,0.129999995,-1.860000014,-171.7200012
0,3,0,-263,45,8198,-82,-5,122,0.129999995,-1.950000048,-171.7400055
0,0,0,-271,28,8181,-78,-3,126,0.129999995,-1.970000029,-171.7599945
0,0,0,-350,25,8193,-85,-6,128,0.129999995,-1.960000038,-171.7700043
0,-2,0,-393,52,8218,-85,-6,128,0.140000001,-1.929999948,-171.7599945
0,-2,0,-367,26,8199,-84,-15,129,0.150000006,-1.889999986,-171.7599945
0,0,0,-290,17,8180,-87,-16,126,0.140000001,-1.909999967,-171.75
